track_id,artist,track_name
1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina
66tlRqExpkn4kRyuxelzs5,Tate McRae,ANYTHING BUT LOVE
0TwOXBFrrS15wz6gflHZoJ,OoOo,fuxxin' love (2019)
3p1coqZaHyGvFVLb7EmmeE,Lil Tecca,NUMBER 2
1WbhIxkn5ECsOwUm795iX1,Lil Peep,Star Shopping
4e0FYxSROat25pH16zMTZI,Lil Tecca,Love Me
5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me
6aCzWpIVNoaT8OTeQ3w8If,Lil Tecca,Boys Don’t Cry
1lfO0bqThTLimzHsvk3LrN,Lil Tecca,OWA OWA
2BJSMvOGABRxokHKB0OI8i,Playboi Carti,Shoota (feat. Lil Uzi Vert)
3QLjDkgLh9AOEHlhQtDuhs,Drake,Best I Ever Had
6rjuKpPydT2SxN15TZpV7r,Lil Tecca,500lbs
6RQ5IwG7uADz9LDWliJGjU,SZA,Special
1qfitEtxCy6zEvnLF0Qi5D,Eric Reprid,FUCK YOU TOO
3TzgIJC8U7o57nx8xnWvnt,XXXTENTACION,hate will never win
5expoVGQPvXuwBBFuNGqBd,NewJeans,Hurt
2WsuSYJNXGKXVYkHPnq2yp,Lil Tecca,Ransom (with Juice WRLD) - Remix
7lv4SU2ATVjQJp6Jia0x7N,Lil Tecca,Dark Thoughts
0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min
2eAZfqOm4EnOF9VvN50Tyc,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3
4kjI1gwQZRKNDkw1nI475M,Travis Scott,MY EYES
040I32EKLxQrkuxQu1pqvT,SZA,Saturn
192RjH0gN6en7nE6ElN96T,Polo G,Wishing For A Hero (feat. BJ The Chicago Kid)
6vxU64pcIuQ38O015Zy4qj,Lil Uzi Vert,Homecoming
7niSpm06fclVIPIeRWhASp,Eric Reprid,850
0O3TAouZE4vL9dM5SyxgvH,A$AP Rocky,Fashion Killa
5wttBUDyaHAR5q9fYnN3YF,21 Savage,prove it
2iP3unJbxZvRuqyrS0ocZy,Polo G,Heartless (feat. Mustard)
2rKUNXZ2qwgTs81TKu1vHe,Eric Reprid,ON THE RADAR FREESTYLE
5SsR3wtCOafDmZgvIdRhSm,ScHoolboy Q,Man Of The Year
2QqJTIlGKRLJC3onkavYEz,Polo G,Flex (feat. Juice WRLD)
5wujBwqG7INdStqGd4tRMX,Juice WRLD,Armed And Dangerous
285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams
4h5x3XHLVYFJaItKuO2rhy,SZA,Ghost in the Machine (feat. Phoebe Bridgers)
0axBgt9y0GvMCLuRl2xBKG,Trippie Redd,1400 / 999 Freestyle (feat. Juice WRLD)
0w1bSTCxJ9v4g8MKRjEZDw,Ski Mask The Slump God,Fatality
1jhu4DIgzxXzULoUWrGXAa,CAMO,Secret
4gN2AsySKyAL4VnwLowBr6,Eric Reprid,PEAKABOO
6xcJyGpfZbuuiequtnlKt4,Travis Scott,BUTTERFLY EFFECT
1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill
3JKgcAa7r07ocVWcV8bS0H,Polo G,21
5dEH9ZuNKHAMdMcOpVPon9,Eric Reprid,LIKE A CHINK BITCH (G6)
1MJyiTlVdSLAjI9aclZ3hL,BIBI,Scott and Zelda
2CGNAOSuO1MEFCbBRgUzjd,Kendrick Lamar,luther (with sza)
3kW4z2pIj5VY5fLjBrMRL5,Lil Uzi Vert,P2
6UBURyvj5cLC4UjhOQWzHa,OoOo,Irony
1Is8hGpkGMiePASAxBluxM,Baby Keem,16
2GAhgAjOhEmItWLfgisyOn,SZA,Low
4uhvMW7ly7tJil31YYscAN,Lil Uzi Vert,Erase Your Social
